active_indices,spoke_counts,sdp_t,sdp_lambda_min,sdp_log_product,sdp_gap,de_failed,de_lambda_min,de_log_product,de_converged
0 2 3 4 5 6 8 9 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00414470,0.00006465,-26.342560,4.080e-03,True,,,False
0 2 3 4 5 6 8 10 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00842461,0.00189927,-18.904378,6.525e-03,True,,,False
0 2 3 4 6 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00528254,0.00004157,-24.059212,5.241e-03,False,0.00508668,-21.825605,False
0 2 3 5 6 7 8 9 10,"O-M:2,O-B:2,O-N:3,O-A:2",0.00119077,0.00005654,-31.901995,1.134e-03,False,0.00117909,-27.603855,False
0 2 3 4 5 7 8 10 11,"O-M:2,O-B:3,O-N:2,O-A:2",0.00580461,0.00000003,-31.557365,5.805e-03,True,,,False
0 2 3 5 7 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00381880,0.00070836,-20.242846,3.110e-03,False,0.00161461,-26.951297,False
0 2 3 4 6 7 8 9 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00119077,0.00005654,-31.904146,1.134e-03,True,,,False
0 2 3 6 7 8 9 10 11,"O-M:2,O-B:1,O-N:3,O-A:3",0.00234980,0.00003194,-27.714391,2.318e-03,False,0.00232436,-24.519180,False
0 2 4 5 6 7 8 9 10,"O-M:2,O-B:2,O-N:3,O-A:2",0.00731160,0.00731161,-18.445733,-1.094e-09,False,0.00731118,-18.458119,False
0 2 3 5 6 7 8 9 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00000000,0.00000000,-inf,0.000e+00,True,,,False
0 2 3 4 7 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00575311,0.00129338,-19.251172,4.460e-03,False,0.00354384,-20.811954,False
0 2 3 5 6 7 8 10 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00421694,0.00000668,-27.211424,4.210e-03,True,,,False
0 2 4 5 6 7 8 10 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00794202,0.00540465,-20.430575,2.537e-03,False,0.00794185,-20.687416,False
0 2 3 5 6 7 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00253876,0.00012422,-23.431432,2.415e-03,True,,,False
0 2 4 5 6 7 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00232878,0.00001257,-28.703153,2.316e-03,False,0.00232586,-22.438549,False
0 2 3 5 6 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00414470,0.00006433,-26.349672,4.080e-03,True,,,False
0 3 4 5 6 7 8 9 10,"O-M:1,O-B:3,O-N:3,O-A:2",0.00094084,0.00094085,-20.461243,-1.196e-09,False,0.00094080,-20.331140,False
0 3 4 5 6 7 8 9 11,"O-M:1,O-B:3,O-N:3,O-A:2",0.00137097,0.00137097,-25.123277,-9.529e-10,False,0.00137070,-24.718908,False
0 2 4 5 6 8 9 10 11,"O-M:2,O-B:2,O-N:2,O-A:3",0.00842461,0.00190086,-18.901786,6.524e-03,False,0.00839318,-17.488395,False
0 3 4 5 6 7 8 10 11,"O-M:1,O-B:3,O-N:3,O-A:2",0.00479402,0.00479402,-21.686492,-2.843e-10,False,0.00479387,-21.678969,False
0 2 4 5 6 7 8 9 11,"O-M:2,O-B:2,O-N:3,O-A:2",0.00421694,0.00000681,-27.193929,4.210e-03,True,,,False
0 3 4 5 6 8 9 10 11,"O-M:1,O-B:3,O-N:2,O-A:3",0.00141445,0.00079379,-26.370719,6.207e-04,False,0.00141445,-22.300284,False
